num_uavs,num_requests,area_size,num_locations,vnfs_per_request,time_slots,seed,milp_success,milp_serviced,milp_reward,milp_runtime,milp_status,mpoploc_success,mpoploc_serviced,mpoploc_reward,mpoploc_runtime,mpoploc_status,random_success,random_serviced,random_reward,random_runtime,random_status,serviced_diff,reward_diff,runtime_ratio,milp_vs_random_serviced_diff,mpoploc_vs_random_serviced_diff,milp_vs_random_reward_diff,mpoploc_vs_random_reward_diff,random_vs_milp_runtime_ratio,random_vs_mpoploc_runtime_ratio,test_case_id,run_id
8,40,2500,10,2,4,0,TRUE,35,35000,181.3130774,optimal,TRUE,31,20000,0.03276825,completed,TRUE,13,13000,0.017841816,completed,15,15000,0.000180727,22,7,22000,7000,9.84E-05,0.544484866,0,0
8,45,2500,10,2,4,1000,TRUE,40,40000,181.3638566,optimal,TRUE,30,21000,0.035108566,completed,TRUE,15,15000,0.018617392,completed,19,19000,0.000193581,25,6,25000,6000,0.000102652,0.5302806,1,0
8,50,2500,10,2,4,2000,TRUE,42,32000,181.4574485,optimal,TRUE,30,15000,0.045316219,completed,TRUE,16,16000,0.024663687,completed,17,17000,0.000249735,16,-1,16000,-1000,0.00013592,0.544257379,2,0
8,55,2500,10,2,4,3000,TRUE,45,37000,181.5624361,optimal,TRUE,28,31000,0.043451071,completed,TRUE,16,16000,0.025871754,completed,6,6000,0.000239318,21,15,21000,15000,0.000142495,0.595422696,3,0
8,60,2500,10,2,4,4000,TRUE,48,48000,181.6457946,optimal,TRUE,27,27000,0.044570208,completed,TRUE,15.5,14000,0.025506496,completed,21,21000,0.000245369,34,13,34000,13000,0.000140419,0.572276815,4,0
8,65,2500,10,2,4,5000,TRUE,47,47000,181.774575,optimal,TRUE,25,28000,0.0480299,completed,TRUE,15,15000,0.027955055,completed,19,19000,0.000264228,32,13,32000,13000,0.00015379,0.58203443,5,0
8,70,2500,10,2,4,6000,TRUE,47,46000,181.8602982,optimal,TRUE,22,25000,0.060505152,completed,TRUE,14,14000,0.038477659,completed,21,21000,0.000332701,32,11,32000,11000,0.000211578,0.635940215,6,0
8,75,2500,10,2,4,7000,TRUE,47,47000,181.9284897,optimal,TRUE,16,27000,0.058002472,completed,TRUE,14,14000,0.035111904,completed,20,20000,0.00031882,33,13,33000,13000,0.000192998,0.605351858,7,0
8,80,2500,10,2,4,8000,TRUE,48,5000,182.0631421,optimal,TRUE,12,12000,0.073389292,completed,TRUE,12,12000,0.045841932,completed,-7,-7000,0.000403098,-7,0,-7000,0,0.000251791,0.624640614,8,0
